DATE,PCE
3/1/1988,10.65174779
4/1/1988,10.65991506
5/1/1988,10.75988239
6/1/1988,10.84122836
7/1/1988,10.92028749
8/1/1988,11.00294022
9/1/1988,11.02580856
10/1/1988,11.15223783
11/1/1988,11.20614178
12/1/1988,11.30251552
1/1/1989,11.38092127
2/1/1989,11.39496896
3/1/1989,11.43025155
4/1/1989,11.57464881
5/1/1989,11.60339758
6/1/1989,11.65174779
7/1/1989,11.7141457
8/1/1989,11.82816073
9/1/1989,11.83240771
10/1/1989,11.87063051
11/1/1989,11.9023195
12/1/1989,12.03593597
1/1/1990,12.18784711
2/1/1990,12.17967984
3/1/1990,12.26690624
4/1/1990,12.31623652
5/1/1990,12.33518458
6/1/1990,12.42894479
7/1/1990,12.48513558
8/1/1990,12.57203528
9/1/1990,12.64325384
10/1/1990,12.64488729
11/1/1990,12.64913427
12/1/1990,12.61450506
1/1/1991,12.54818687
2/1/1991,12.63214636
3/1/1991,12.78340412
4/1/1991,12.76412937
5/1/1991,12.84939562
6/1/1991,12.87324404
7/1/1991,12.95655015
8/1/1991,12.96667756
9/1/1991,13.01764129
10/1/1991,12.98921921
11/1/1991,13.07938582
12/1/1991,13.13459654
1/1/1992,13.34433192
2/1/1992,13.39268213
3/1/1992,13.44985299
4/1/1992,13.49722313
5/1/1992,13.58510291
6/1/1992,13.64619405
7/1/1992,13.73668736
8/1/1992,13.78928455
9/1/1992,13.90166612
10/1/1992,13.99771317
11/1/1992,14.04933028
12/1/1992,14.16661222
1/1/1993,14.18065992
2/1/1993,14.22835675
3/1/1993,14.21920941
4/1/1993,14.35282587
5/1/1993,14.44756615
6/1/1993,14.5050637
7/1/1993,14.5994773
8/1/1993,14.63933355
9/1/1993,14.7386475
10/1/1993,14.8082326
11/1/1993,14.87781771
12/1/1993,14.93335511
1/1/1994,14.9790918
2/1/1994,15.13426985
3/1/1994,15.17804639
4/1/1994,15.26004574
5/1/1994,15.25481869
6/1/1994,15.38353479
7/1/1994,15.4217576
8/1/1994,15.55896766
9/1/1994,15.5994773
10/1/1994,15.72329304
11/1/1994,15.76478275
12/1/1994,15.81705325
1/1/1995,15.84841555
2/1/1995,15.84710879
3/1/1995,15.96014374
4/1/1995,15.97582489
5/1/1995,16.11597517
6/1/1995,16.26102581
7/1/1995,16.23717739
8/1/1995,16.3518458
9/1/1995,16.40150278
10/1/1995,16.3799412
11/1/1995,16.51617119
12/1/1995,16.65305456
1/1/1996,16.61450506
2/1/1996,16.76837635
3/1/1996,16.90068605
4/1/1996,17.0140477
5/1/1996,17.06566482
6/1/1996,17.08526625
7/1/1996,17.15746488
8/1/1996,17.23293041
9/1/1996,17.30349559
10/1/1996,17.4077099
11/1/1996,17.48186867
12/1/1996,17.5713819
1/1/1997,17.67755635
2/1/1997,17.75236851
3/1/1997,17.81836001
4/1/1997,17.83502123
5/1/1997,17.83796145
6/1/1997,17.94903626
7/1/1997,18.12740934
8/1/1997,18.25220516
9/1/1997,18.30022868
10/1/1997,18.41783731
11/1/1997,18.49428291
12/1/1997,18.59555701
1/1/1998,18.58836981
2/1/1998,18.69911794
3/1/1998,18.78569095
4/1/1998,18.90918001
5/1/1998,19.07187194
6/1/1998,19.18229337
7/1/1998,19.24207775
8/1/1998,19.35641947
9/1/1998,19.48905586
10/1/1998,19.59751715
11/1/1998,19.65174779
12/1/1998,19.83175433
1/1/1999,19.8395949
2/1/1999,19.93400849
3/1/1999,20.03560928
4/1/1999,20.24240444
5/1/1999,20.33877818
6/1/1999,20.43123162
7/1/1999,20.52107155
8/1/1999,20.66808233
9/1/1999,20.83894152
10/1/1999,20.91506044
11/1/1999,21.03201568
12/1/1999,21.36131983
1/1/2000,21.35021235
2/1/2000,21.62593924
3/1/2000,21.84188174
4/1/2000,21.79385822
5/1/2000,21.91310029
6/1/2000,22.03168899
7/1/2000,22.0976805
8/1/2000,22.21202221
9/1/2000,22.48578896
10/1/2000,22.50310356
11/1/2000,22.54949363
12/1/2000,22.69095067
1/1/2001,22.79320484
2/1/2001,22.85462267
3/1/2001,22.82881411
4/1/2001,22.87226397
5/1/2001,23.02221496
6/1/2001,23.06664489
7/1/2001,23.10421431
8/1/2001,23.22410977
9/1/2001,22.91016008
10/1/2001,23.54916694
11/1/2001,23.41685724
12/1/2001,23.35086573
1/1/2002,23.43776544
2/1/2002,23.58150931
3/1/2002,23.64325384
4/1/2002,23.86605684
5/1/2002,23.79189807
6/1/2002,23.90787324
7/1/2002,24.11107481
8/1/2002,24.18000653
9/1/2002,24.14570402
10/1/2002,24.2754002
11/1/2002,24.37014048
12/1/2002,24.5436132
1/1/2003,24.60993139
2/1/2003,24.61907873
3/1/2003,24.82326037
4/1/2003,24.89709245
5/1/2003,24.92028749
6/1/2003,25.08526625
7/1/2003,25.27997386
8/1/2003,25.59457694
9/1/2003,25.59621039
10/1/2003,25.63116629
11/1/2003,25.80725253
12/1/2003,25.90395296
1/1/2004,26.0940869
2/1/2004,26.19993466
3/1/2004,26.38353479
4/1/2004,26.42469781
5/1/2004,26.66840902
6/1/2004,26.61613852
7/1/2004,26.85037569
8/1/2004,26.96210389
9/1/2004,27.18425351
10/1/2004,27.359033
11/1/2004,27.50931068
12/1/2004,27.70826527
1/1/2005,27.67134923
2/1/2005,27.8640967
3/1/2005,27.99575302
4/1/2005,28.24436459
5/1/2005,28.23881085
6/1/2005,28.50310356
7/1/2005,28.84514864
8/1/2005,28.85462267
9/1/2005,29.02907547
10/1/2005,29.16236524
11/1/2005,29.20124142
12/1/2005,29.30284221
1/1/2006,29.59751715
2/1/2006,29.69650441
3/1/2006,29.80104541
4/1/2006,29.97321137
5/1/2006,30.10486769
6/1/2006,30.18882718
7/1/2006,30.45606011
8/1/2006,30.45344659
9/1/2006,30.5609278
10/1/2006,30.62136557
11/1/2006,30.64423391
12/1/2006,30.93433518
1/1/2007,31.08885985
2/1/2007,31.18850049
3/1/2007,31.313623
4/1/2007,31.41359033
5/1/2007,31.52989219
6/1/2007,31.58216269
7/1/2007,31.72035283
8/1/2007,31.86507677
9/1/2007,32.00882065
10/1/2007,32.10388762
11/1/2007,32.33518458
12/1/2007,32.36981379
1/1/2008,32.44037896
2/1/2008,32.38614832
3/1/2008,32.536426
4/1/2008,32.6586083
5/1/2008,32.84482195
6/1/2008,33.02156158
7/1/2008,33.01110748
8/1/2008,32.97843842
9/1/2008,32.81117282
10/1/2008,32.53936622
11/1/2008,32.0836328
12/1/2008,31.78928455
1/1/2009,31.96275727
2/1/2009,31.90460634
3/1/2009,31.74942829
4/1/2009,31.7700098
5/1/2009,31.84874224
6/1/2009,32.0382228
7/1/2009,32.15191114
8/1/2009,32.54165305
9/1/2009,32.28814113
10/1/2009,32.44658608
11/1/2009,32.47468148
12/1/2009,32.6654688
1/1/2010,32.67494283
2/1/2010,32.76902973
3/1/2010,32.96014374
4/1/2010,33.03789611
5/1/2010,33.09702712
6/1/2010,33.163672
7/1/2010,33.27245998
8/1/2010,33.4145704
9/1/2010,33.48252205
10/1/2010,33.66448873
11/1/2010,33.82783404
12/1/2010,33.95001633
1/1/2011,34.09180007
2/1/2011,34.20483502
3/1/2011,34.46749428
4/1/2011,34.5886965
5/1/2011,34.66840902
6/1/2011,34.74942829
7/1/2011,34.88239138
8/1/2011,34.95785691
9/1/2011,35.08036589
10/1/2011,35.12936949
11/1/2011,35.15027769
12/1/2011,35.1917674
1/1/2012,35.48546227
2/1/2012,35.7840575
3/1/2012,35.77850376
4/1/2012,35.86965044
5/1/2012,35.83338778
6/1/2012,35.76053577
7/1/2012,35.86148318
8/1/2012,35.94936295
9/1/2012,36.13688337
10/1/2012,36.26200588
11/1/2012,36.38288141
12/1/2012,36.39496896
1/1/2013,36.59849722
2/1/2013,36.71871937
3/1/2013,36.67788304
4/1/2013,36.60699118
5/1/2013,36.7350539
6/1/2013,36.81411303
7/1/2013,36.90525972
8/1/2013,37.01143417
9/1/2013,37.13459654
10/1/2013,37.30741588
11/1/2013,37.52891212
12/1/2013,37.62789938
1/1/2014,37.58150931
2/1/2014,37.81280627
3/1/2014,38.04148971
4/1/2014,38.24599804
5/1/2014,38.38908853
6/1/2014,38.59098334
